Cell_Line	Donor_Sex	Donor_Age	Avg_Donor_Age	Origin_Cell	Reprogramming_Method	Mean_X_Chrom_ASE	Pool (rep1)	Passage_Number (rep1)	Pool (rep2)	Passage_Number (rep2)	Pool (rep3)	Passage_Number (rep3)
HPSI0714i-keui_4	female	50-54	52	fibroblast	sendai	0.111572949	7	29	-	-	-	-
HPSI0714i-kute_5	female	25-29	27	fibroblast	sendai	0.127622544	5	34	13	34	-	-
HPSI0714i-oatm_1	male	65-69	67	fibroblast	sendai	NA	6	23	-	-	-	-
HPSI0714i-pipw_4	male	50-54	52	fibroblast	sendai	NA	3	17	-	-	-	-
HPSI0715i-aowh_2	female	65-69	67	fibroblast	sendai	0.066371622	8	18	-	-	-	-
HPSI0715i-meue_5	male	65-69	67	fibroblast	sendai	NA	2	14	3	14	-	-
HPSI0715i-zaie_5	female	70-74	72	fibroblast	sendai	0.173193924	8	24	-	-	-	-
HPSI0813i-aizi_3	female	50-54	52	fibroblast	sendai	0.23148292	12	26	16	28	-	-
HPSI0813i-civh_1	female	50-54	52	fibroblast	sendai	NA	12	23	21	28	-	-
HPSI0813i-ffdc_1	male	40-44	42	fibroblast	episomal	NA	14	46	-	-	-	-
HPSI0813i-guss_1	female	60-64	62	fibroblast	sendai	0.221251975	13	31	-	-	-	-
HPSI0813i-iill_3	male	60-64	62	fibroblast	sendai	NA	13	26	-	-	-	-
HPSI0813i-mioj_1	female	NA	NA	fibroblast	sendai	NA	13	22	-	-	-	-
HPSI0813i-peoj_1	female	55-59	57	fibroblast	sendai	0.238089004	13	17	-	-	-	-
HPSI0813i-uaqe_1	female	60-64	62	fibroblast	sendai	0.178953624	13	26	-	-	-	-
HPSI0813i-vajx_2	male	50-54	52	fibroblast	sendai	NA	13	31	-	-	-	-
HPSI0813i-wots_3	female	60-64	62	fibroblast	sendai	0.135297849	16	32	-	-	-	-
HPSI0813i-zexw_3	female	65-69	67	fibroblast	sendai	0.197307391	13	31	-	-	-	-
HPSI0814i-bokz_6	female	55-59	57	fibroblast	sendai	0.107865251	4	19	21	17	-	-
HPSI0814i-doao_1	female	50-54	52	fibroblast	sendai	0.025741874	15	19	-	-	-	-
HPSI0814i-siqu_4	female	60-64	62	fibroblast	sendai	0.243490116	7	42	-	-	-	-
HPSI0913i-eika_2	male	45-49	47	fibroblast	sendai	NA	9	27	-	-	-	-
HPSI0913i-eorc_2	female	70-74	72	fibroblast	sendai	NA	13	15	-	-	-	-
HPSI0913i-iuqb_1	male	55-59	57	fibroblast	sendai	NA	13	31	-	-	-	-
HPSI0913i-lise_1	female	45-49	47	fibroblast	sendai	0.119272248	14	35	-	-	-	-
HPSI0913i-ruql_3	female	65-69	67	fibroblast	sendai	0.185293031	13	29	-	-	-	-
HPSI0914i-euts_3	male	60-64	62	fibroblast	sendai	NA	15	15	-	-	-	-
HPSI0914i-iezw_2	female	55-59	57	fibroblast	sendai	0.337087083	5	41	-	-	-	-
HPSI0914i-jejf_2	female	50-54	52	fibroblast	sendai	0.343247863	5	25	-	-	-	-
